AVAIL_LOADTIME,SH_KEY,SD_KEY,REGION_ID,MARKET_ID,VENDOR,SITE_ID,PERIOD_START_TIME,NODEB_COUNT,SECTOR_COUNT,CELL_COUNT,PERIOD_DURATION_SUM,PERIOD_DURATION_MIN,PERIOD_DURATION_MAX,TOTAL_TIME,TOTAL_AVAIL_TIME,TOTAL_DOWNTIME,TOTAL_AVAILABILITY_N,TOTAL_AVAILABILITY_D,CELL_POWER_SAVING_SUM,TOTAL_TIME_5G,TOTAL_AVAIL_TIME_5G,TOTAL_DOWNTIME_5G,TOTAL_AVAILABILITY_N_5G,TOTAL_AVAILABILITY_D_5G,TOTAL_TIME_LTE,TOTAL_AVAIL_TIME_LTE,TOTAL_DOWNTIME_LTE,TOTAL_AVAILABILITY_N_LTE,TOTAL_AVAILABILITY_D_LTE,CAT_TABLE_LOADTIME,CAT_PROCESS_TIME,SITE_ID_SUMMARY_CATEGORY,SITE_ID_FOCUS_CATEGORY,SITE_ID_DETAIL_CATEGORY,TOP_OVERALL_SCORE,TOP_RECORDID,TOP_OUTAGE_TYPE_NUM,OUTAGE_TYPE,TOP_SOURCE_NAME,TOP_KEYWORD,DESCRIPTION_1,DESCRIPTION_2,DESCRIPTION_3,TOP_DESC_USED,RECORDID_CREATED_LOCAL,RECORDID_RESOLVED_LOCAL,RECORDID_COUNT,ASSOC_RECORDIDS,CATEGORY_COUNT,ASSOC_CATEGORIES,KEYWORD_COUNT,ASSOC_KEYWORDS,ASSOC_SCORES,REC_TABLE_LOADTIME,MB_PRIMARY_AAV_VENDOR_NAME,MB_MKT_AREA,FIELD_OPS_ASSIGNEE,FIELD_OPS_ASSIGNMENT_GROUP,FIELD_OPS_MGR,SITE_LATITUDE,SITE_LONGITUDE,TABLE_LOADTIME,TOP_CATEGORY,MAINT_WNDW,SEVERITY_SCORE_NOADJ,AVG_RRC_CONNECTED_USERS_N,AVG_RRC_CONNECTED_USERS_D,AVG_RRC_CONNECTED_USERS_VALUE,R30D_AVG_CONNECTED_USERS,R30D_HOUR_RANK,OUTAGE_INDEX_GROUP_NUM,OUTAGE_INDEX_DEDUCTION,RF_SOLUTION,TOP_ASSIGNED_GROUP,TOP_MASTER_INCIDENT_ID,_lte_pct,_5g_pct
2026-03-20 12:37:03.624,SC90155M.202603201100,SC90155M.20260320,West,Sacramento,Ericsson,SC90155M,2026-03-20 11:00:00,2,3,24,1260.00,45.00,60.00,75600.00,75600.00,0.00,75600.00,75600.00,0.00,43200.00,43200.00,0.00,43200.00,43200.00,32400.00,32400.00,0.00,32400.00,32400.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,CONSOLIDATED,NORCAL,James Molloy,W-California-SC-FOPS-SACRAMENTO,Leighton Tong,38.446458000,-121.378958000,2026-03-20 12:55:28.103,,False,,184525.5936,8641.0000,26.9500404835,25.0447792531866,12,1,0.00,Macro,,,100.0,100.0
2026-03-20 05:43:02.777,SV80357A.202603200400,SV80357A.20260320,West,LA North,Ericsson,SV80357A,2026-03-20 04:00:00,2,3,27,1620.00,60.00,60.00,97200.00,97200.00,0.00,97200.00,97200.00,0.00,54000.00,54000.00,0.00,54000.00,54000.00,43200.00,43200.00,0.00,43200.00,43200.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,T-MOBILE,NORCAL,Michael Pattison,W-California-SV-FOPS-TEAM 4,Jimmy Luu,35.448100000,-119.729000000,2026-03-20 07:56:19.135,,True,,7149.0711,8641.0000,0.8984843630,0.7700974445799,19,0,0.00,Macro,,,100.0,100.0
2026-03-20 10:40:48.274,SA01472A.202603201100,SA01472A.20260320,South,Austin,Nokia,SA01472A,2026-03-20 11:00:00,2,3,27,1620.00,60.00,60.00,97200.00,97200.00,0.00,97200.00,97200.00,0.00,54000.00,54000.00,0.00,54000.00,54000.00,43200.00,43200.00,0.00,43200.00,43200.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,AT&T,Texas,Douglas Staats,S-Texas-AU-FOPS-SA Central,Robert Gamis,29.548754000,-98.042044000,2026-03-20 12:55:28.103,,False,,149.8521,16.0000,12.1854511243,11.0272177734699,9,1,0.00,Macro,,,100.0,100.0
2026-03-20 03:37:04.926,4BG0591A.202603200400,4BG0591A.20260320,Northeast,New England,Ericsson,4BG0591A,2026-03-20 04:00:00,2,4,24,1440.00,60.00,60.00,86400.00,86400.00,0.00,86400.00,86400.00,0.00,28800.00,28800.00,0.00,28800.00,28800.00,57600.00,57600.00,0.00,57600.00,57600.00,2026-03-20 03:40:58.390,2026-03-20 03:33:10,No Outage,No Outage,No Outage,1315.10,INC124856845,0.00,No Outage,INC_NONEST,Maintenance,Maintenance,4BG0591A_Ericsson_mNodeB Ericsson_mNodeB MM SiteDegraded_Market_Actionable Alarm(s) Present,,DESC_1,2026-03-03 02:06:34.000,2099-01-01 00:00:00.000,1.0,INC124856845,1.0,Maintenance,1.0,Maintenance,1315.10,2026-03-20 03:33:26.667,T-MOBILE,NER North,Jonathan Skaggs,N-NER North-NE-FOPS-ME,Eric Williams,45.174780000,-67.609810000,2026-03-20 05:55:33.712,Maintenance,True,300.0,43528.1539,11521.0000,3.9323377347,3.7978101631799,23,0,0.00,Macro,N-NER North-NE-FOPS-ME,,100.0,100.0
2026-03-20 03:37:04.926,A2H0623B.202603200500,A2H0623B.20260320,South,Tampa,Ericsson,A2H0623B,2026-03-20 05:00:00,2,3,24,1440.00,60.00,60.00,86400.00,86400.00,0.00,86400.00,86400.00,0.00,32400.00,32400.00,0.00,32400.00,32400.00,54000.00,54000.00,0.00,54000.00,54000.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,"ZAYO GROUP, LLC",Florida,Philip Napolitano,S-Florida-TP-FOPS-TAMPA North,John Brierley,27.884478000,-82.758006000,2026-03-20 05:55:33.712,,True,,46947.2483,10801.0000,5.5951912414,5.2283535152933,20,0,0.00,Macro,,,100.0,100.0
2026-03-20 09:37:04.792,CI13010A.202603201000,CI13010A.20260320,Central,Cincinnati,Nokia,CI13010A,2026-03-20 10:00:00,2,3,21,1260.00,60.00,60.00,75600.00,75600.00,0.00,75600.00,75600.00,0.00,43200.00,43200.00,0.00,43200.00,43200.00,32400.00,32400.00,0.00,32400.00,32400.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,CINCINNATI BELL,Appalachian,Francis Straub,C-Appalachian-CI-FieldSupportTeam-CentralWest,John Austin,39.021614000,-84.632953000,2026-03-20 11:55:34.765,,False,,231.7764,13.0000,25.5264459876,23.1891838836000,10,1,0.00,Macro,,,100.0,100.0
2026-03-20 10:40:48.274,SD06482A.202603200800,SD06482A.20260320,West,San Diego,Ericsson,SD06482A,2026-03-20 08:00:00,3,3,27,1620.00,60.00,60.00,97200.00,97200.00,0.00,97200.00,97200.00,0.00,54000.00,54000.00,0.00,54000.00,54000.00,43200.00,43200.00,0.00,43200.00,43200.00,2026-03-20 03:40:58.390,2026-03-20 03:33:10,No Outage,No Outage,No Outage,1316.10,CHG022111263,0.00,No Outage,CHG_NESTED,Night ,Service Impacting (SI) NEST request - SAN DIEGO | SOUTHERN CALIFORNIA - RAN Software Deployment Upgrade Schedule for Wednesday Night 03/18/2026,ERC 25.Q4 EC3 RAN SW Activation (West Region - SD) - SI - 43 nodes / sites,ERC 25.Q4 EC3 RAN SW Activation (West Region - SD) - SI - 43 nodes / sites,DESC_1,2026-03-19 02:32:34.760,2099-01-01 00:00:00.000,2.0,CHG022111263|INC122237801,2.0,Software|Hardware,2.0,Night |Hardware,1316.10|1412.10,2026-03-20 03:33:26.667,AT&T,Southern California,Tony Breeden,W-California-SD-FOPS-Quad 4S,Luis Gastelum,32.803264000,-115.374328000,2026-03-20 12:55:28.103,Software,False,400.0,311334.6347,8641.0000,39.6683782056,34.8856679011599,10,1,0.00,Macro,,,100.0,100.0
2026-03-20 00:37:04.497,5CT0003A.202603200100,5CT0003A.20260320,Northeast,North Carolina,Ericsson,5CT0003A,2026-03-20 01:00:00,5,7,35,2100.00,60.00,60.00,126000.00,126000.00,0.00,126000.00,126000.00,0.00,72000.00,72000.00,0.00,72000.00,72000.00,54000.00,54000.00,0.00,54000.00,54000.00,2026-03-20 03:40:58.390,2026-03-20 03:33:10,No Outage,No Outage,No Outage,1210.10,INC124191710,0.00,No Outage,INC_NONEST,Transport,Transport,5CT0003A Ericsson MultiTechnology SiteServiceImpacting Alarm(s) Present * both vlans bounce every 7 days at 7:30am,,DESC_1,2026-02-10 08:42:29.000,2099-01-01 00:00:00.000,1.0,INC124191710,1.0,Transport,1.0,Transport,1210.10,2026-03-20 03:33:26.667,SEGRA,NER South,Andre Grace,N-NER South-NC-FOPS-Charlotte East,Bill Boone,35.218858000,-80.854938000,2026-03-20 05:26:01.780,Transport,True,200.0,205794.4348,10801.0000,20.4897113065,19.5120870821533,19,0,0.00,Macro,PIER_TaylorsElectric_GenTrac,,100.0,100.0
2026-03-20 01:37:04.978,MW14312A.202603200200,MW14312A.20260320,Central,Indianapolis,Nokia,MW14312A,2026-03-20 02:00:00,2,3,30,1800.00,60.00,60.00,108000.00,86400.00,0.00,108000.00,108000.00,28800.00,64800.00,43200.00,0.00,64800.00,64800.00,43200.00,43200.00,0.00,43200.00,43200.00,2026-03-20 03:40:58.390,2026-03-20 03:33:10,No Outage,No Outage,No Outage,1316.10,CHG021502228,0.00,No Outage,CHG_NESTED,Cleanup,NRCA and BWP SI SON module cleanup,Indianapolis January RF Monthly CR 2026,"Indianapolis January RF Monthly CR 2026

",DESC_1,2026-03-13 01:48:31.800,2099-01-01 00:00:00.000,1.0,CHG021502228,1.0,Software,1.0,Cleanup,1316.10,2026-03-20 03:33:26.667,"ZAYO GROUP, LLC",Heartland,Joshua Grinstead,C-Heartland-IN-FOPS,Quint Self,39.514889000,-87.399603000,2026-03-20 05:26:01.780,Software,True,400.0,66.7628,16.0000,5.6294892285,5.9051352230172,20,0,0.00,Macro,,,100.0,66.6667
2026-03-20 05:43:02.777,VG08478A.202603200300,VG08478A.20260320,West,Las Vegas,Ericsson,VG08478A,2026-03-20 03:00:00,3,3,24,1440.00,60.00,60.00,86400.00,86400.00,0.00,86400.00,86400.00,0.00,54000.00,54000.00,0.00,54000.00,54000.00,32400.00,32400.00,0.00,32400.00,32400.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,COX COMMUNICATIONS,Desert West,Juan Cuellar,W-DesertWest-VG-FOPS,James Bosco,36.105030000,-115.296384000,2026-03-20 07:56:19.135,,True,,92662.2227,6481.0000,16.5220894314,16.4429030883966,23,0,0.00,Macro,,,100.0,100.0
